imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt0478970,Ant-Man,Ant-Man (2015),Movie,2015,7.3,64,7.1,83,,6.2,
tt3521164,Moana,Moana (2016),Movie,2016,7.6,81,7.6,,,6.8,
tt4846340,Hidden Figures,Hidden Figures (2016),Movie,2016,7.8,74,8.1,,,6.9,
tt2294629,Frozen,Frozen (2013),Movie,2013,7.4,75,7.3,,,6.5,
tt0800369,Thor,Thor (2011),Movie,2011,7,57,6.8,,,5.6,
tt0290334,X2: X-Men United,X2: X-Men United (2003),Movie,2003,7.4,68,7,85,,6.4,
tt1228705,Iron Man 2,Iron Man 2 (2010),Movie,2010,7,57,6.8,,,5.9,
tt1485796,The Greatest Showman,The Greatest Showman (2017),Movie,2017,7.6,48,8,57,,6.8,
tt2277860,Finding Dory,Finding Dory (2016),Movie,2016,7.3,77,7.1,,,6.6,
tt4566758,Mulan,Mulan (2020),Movie,2020,5.7,66,7,,,5,
tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End (2007),Movie,2007,7.1,50,7.2,,,6.1,
tt0317219,Cars,Cars (2006),Movie,2006,7.1,73,6.8,74,,6.2,
tt0210945,Remember the Titans,Remember the Titans (2000),Movie,2000,7.8,48,7.6,73,,6.9,
tt5848272,Ralph Breaks the Internet,Ralph Breaks the Internet (2018),Movie,2018,7,71,7.2,,,6.5,
tt12607910,Black Is King,Black Is King (2020),Movie,2020,5.7,84,7.5,,,6.3,
tt0462538,The Simpsons Movie,The Simpsons Movie (2007),Movie,2007,7.3,80,7,87,,6.2,
tt0213565,The Color of Friendship,The Color of Friendship (2000),Movie,2000,7.2,,7.3,,,4.9,
tt7775622,Free Solo,Free Solo (2018),Movie,2018,8.2,83,8,97,,7.4,
tt0780521,The Princess and the Frog,The Princess and the Frog (2009),Movie,2009,7.1,73,7.1,85,,6.2,
tt0055254,One Hundred and One Dalmatians,One Hundred and One Dalmatians (1961),Movie,1961,7.3,83,7.1,98,,6.5,
tt8096832,Lady and the Tramp,Lady and the Tramp (2019),Movie,2019,6.3,48,7.4,65,,5.5,
tt0106611,Cool Runnings,Cool Runnings (1993),Movie,1993,7,60,7,,9.2,5.7,
tt4575576,Christopher Robin,Christopher Robin (2018),Movie,2018,7.3,60,7.3,72,,6.1,
tt1104001,TRON: Legacy,TRON: Legacy (2010),Movie,2010,6.8,49,6.4,,8,5.6,
tt0113104,Frank and Ollie,Frank and Ollie (1995),Movie,1995,7.7,,7.5,88,,7.1,
tt1245104,Presto,Presto (2008),Movie,2008,8.3,,7.8,,,7.5,
tt3411444,Ferdinand,Ferdinand (2017),Movie,2017,6.7,58,7.2,,,6,
tt2180411,Into the Woods,Into the Woods (2014),Movie,2014,5.9,69,5.8,,,5.2,
tt0323642,Piglet's Big Movie,Piglet's Big Movie (2003),Movie,2003,6.2,62,6.7,70,,5,
tt2788732,Pete's Dragon,Pete's Dragon (2016),Movie,2016,6.7,71,6.4,,,5.9,
tt0322330,Freaky Friday,Freaky Friday (2003),Movie,2003,6.2,70,6.3,,7.7,4.7,
tt0076618,The Rescuers,The Rescuers (1977),Movie,1977,6.9,74,6.8,,,6.2,
tt1425244,Partly Cloudy,Partly Cloudy (2009),Movie,2009,8.2,,7.9,,,7.6,
tt0110157,Iron Will,Iron Will (1994),Movie,1994,6.6,56,6.7,67,,5.8,
tt0397313,Eight Below,Eight Below (2006),Movie,2006,7.3,64,7,,,6.3,
tt0100477,The Rescuers Down Under,The Rescuers Down Under (1990),Movie,1990,6.9,70,6.7,,9,6,
tt0371606,Chicken Little,Chicken Little (2005),Movie,2005,5.7,48,5.9,,6.5,5.1,
tt1509767,The Three Musketeers,The Three Musketeers (2011),Movie,2011,5.7,35,5.8,,8,4.6,
tt0115491,Aladdin and the King of Thieves,Aladdin and the King of Thieves (1996),Movie,1996,6.4,,6.3,33,,5.9,
tt1648204,Lemonade Mouth,Lemonade Mouth (2011),Movie,2011,6.9,,7.5,,,5.4,
tt0110006,Heavyweights,Heavyweights (1995),Movie,1995,6.7,42,6.1,,9,3.9,
tt0012494,Destiny,Destiny (1921),Movie,1921,7.7,,7.5,,,7.8,
tt0082474,The Great Muppet Caper,The Great Muppet Caper (1981),Movie,1981,7.2,70,6.8,,,5.6,
tt0452598,Cheaper by the Dozen 2,Cheaper by the Dozen 2 (2005),Movie,2005,5.5,34,6.1,,,4.4,
tt1414382,You Again,You Again (2010),Movie,2010,5.8,28,6.3,,6.8,4.4,
tt0220099,The Tigger Movie,The Tigger Movie (2000),Movie,2000,6.3,53,6.5,,9.2,5.1,
tt1196339,Princess Protection Program,Princess Protection Program (2009),Movie,2009,5.6,,6.6,,,4,
tt1055366,Camp Rock,Camp Rock (2008),Movie,2008,5.2,,6.4,,,3.9,
tt0465925,Brother Bear 2,Brother Bear 2 (2006),Movie,2006,6.2,,6.7,,8.4,5.5,
tt1223236,African Cats,African Cats (2011),Movie,2011,7.5,61,7.4,,,7,
tt12885438,The Lego Star Wars Holiday Special,The Lego Star Wars Holiday Special (2020),Movie,2020,6.4,,6.7,73,,6.1,
tt0057180,The Incredible Journey,The Incredible Journey (1963),Movie,1963,7.1,87,6.7,,,6.4,
tt0149261,Deep Blue Sea,Deep Blue Sea (1999),Movie,1999,5.9,54,5.9,59,,4.4,
tt0281905,Double Teamed,Double Teamed (2002),Movie,2002,6.1,,6.2,,,3.3,
tt0027126,The Tortoise and the Hare,The Tortoise and the Hare (1935),Movie,1935,7.2,,6.6,,,6.6,
tt6897772,The Little Mermaid Live!,The Little Mermaid Live! (2019),Movie,2019,5.6,,6.9,36,,5.8,
tt0800318,The Cheetah Girls 2,The Cheetah Girls 2 (2006),Movie,2006,5,,6.2,,,3.4,
tt0033460,Chef Donald,Chef Donald (1941),Movie,1941,7.3,,6.8,,,6.6,
tt0397113,Tiger Cruise,Tiger Cruise (2004),Movie,2004,6.1,,5.9,67,,,
tt0034873,How to Fish,How to Fish (1942),Movie,1942,7,,6.2,,,6.1,
tt0219813,Horse Sense,Horse Sense (1999),Movie,1999,6.2,,6.9,,,3.8,
tt2999390,Super Buddies,Super Buddies (2013),Movie,2013,4.3,,6.1,,,3.1,
tt0087225,The Ewok Adventure,The Ewok Adventure (1984),Movie,1984,5.4,,5.9,21,,5.2,
tt0097053,Cheetah,Cheetah (1989),Movie,1989,6,,6,50,,5.3,
tt14811196,Orca vs. Great White,Orca vs. Great White (2021),Movie,2021,,,,,,,
tt0024792,Ye Olden Days,Ye Olden Days (1933),Movie,1933,6.6,,6,,,6,
tt0033838,The Little Whirlwind,The Little Whirlwind (1941),Movie,1941,6.8,,6,,,5.9,
tt0450455,Life Is Ruff,Life Is Ruff (2005),Movie,2005,4.9,,5.5,,,,
tt0039762,Rescue Dog,Rescue Dog (1947),Movie,1947,6.7,,5.9,,,5.8,
tt0047642,The Vanishing Prairie,The Vanishing Prairie (1954),Movie,1954,7.4,,7.3,,,,
tt0488903,Verfolgt,Verfolgt (2006),Movie,2006,6.6,,5.1,,,4.8,
tt0353965,Sacred Planet,Sacred Planet (2004),Movie,2004,6.1,53,6.3,,,6.7,
tt9165688,Mission to the Sun,Mission to the Sun (2018),Movie,2018,6.6,,6.5,,,6.4,
tt0054307,The Sign of Zorro,The Sign of Zorro (1958),Movie,1958,7.1,,7,,,6.6,
tt13130602,Secrets of the Bull Shark,Secrets of the Bull Shark (2020),Movie,2020,,,,,,,
